Qty	Ref Des	Lib	Pkg	Val	Prod ID	Distributor	Dist. ID	Desc1	Desc2	Cost
1	IC5	SparkFun-DigitalIC	DIL14-KIT	CD4013B	IC-11896			IC CD4013BE (PTH)	IC D-TYPE POS TRG DUAL 14DIP	0.38520
21	D100, D200, D300, D400, D500, D600, D700, D800, D900, D1000, D101, D201, D301, D401, D501, D1001, D901, D801, D601, D701, D3	SparkFun-DiscreteSemi	DIODE-1N4001-KIT	1N5819	DIO-11895			DIODE SCHOTTKY 1N5819 (PTH)	DIODE SCHOTTKY 40V 1A DO41	0.02500
1	FRAME1	SparkFun-Aesthetics	CREATIVE_COMMONS					 	 	 
30	GND1, GND2, GND3, GND4, GND5, GND6, GND7, GND10, GND11, GND12, GND14, GND15, GND16, GND17, GND18, GND19, GND20, GND21, GND22, GND23, GND24, GND8, GND9, GND25, GND26, GND13, GND27, GND28, GND29, GND30	SparkFun-Aesthetics						 	 	 
5	STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF5, STANDOFF6	SparkFun-Electromechanical	STAND-OFF					 	 	 
23	SUPPLY1, SUPPLY2, SUPPLY3, SUPPLY4, SUPPLY5, SUPPLY6, SUPPLY7, SUPPLY8, SUPPLY9, SUPPLY10, SUPPLY11, SUPPLY12, SUPPLY13, SUPPLY14, SUPPLY15, SUPPLY16, SUPPLY17, SUPPLY18, SUPPLY19, SUPPLY20, SUPPLY21, SUPPLY22, SUPPLY23	SparkFun-Aesthetics						 	 	 
1	LOGO3	SparkFun-Aesthetics	SPARKPUNK_LOGO_.1					 	 	 
1	LOGO1	SparkFun-Aesthetics	SPARKPUNK_LOGO_.2					 	 	 
1	LOGO4	SparkFun-Aesthetics	SFE_LOGO_NAME_FLAME_.4	SFE_LOGO_NAME_FLAME.4_INCH				 	 	 
1	JP200	SparkFun-Connectors	1X02_NO_SILK	STEP2				 	 	 
1	JP300	SparkFun-Connectors	1X02_NO_SILK	STEP3				 	 	 
1	JP400	SparkFun-Connectors	1X02_NO_SILK	STEP4				 	 	 
1	JP500	SparkFun-Connectors	1X02_NO_SILK	STEP5				 	 	 
1	JP700	SparkFun-Connectors	1X02_NO_SILK	STEP7				 	 	 
1	JP800	SparkFun-Connectors	1X02_NO_SILK	STEP8				 	 	 
1	JP900	SparkFun-Connectors	1X02_NO_SILK	STEP9				 	 	 
1	JP1000	SparkFun-Connectors	1X02_NO_SILK	STEP10				 	 	 
1	JP600	SparkFun-Connectors	1X02_NO_SILK	STEP6				 	 	 
